cap,strategy,gen,pop,best_f,mean_f,diversity,cap_used
30,fixed,87,30,1,0.9120688553074295,0.1579085363195141,30
30,fixed,88,30,1,0.91667053639246,0.15059756352935577,30
30,fixed,89,30,1,0.9368139439871204,0.10669726643497449,30
30,fixed,90,30,1,0.9197532813874445,0.13018479082239212,30
30,fixed,91,30,1,0.9053753023508547,0.15124245964899496,30
30,fixed,92,30,1,0.9066481468507246,0.13615582260435624,30
30,fixed,93,30,1,0.8895833938005685,0.15969565156147625,30
30,fixed,94,30,1,0.9078348579989051,0.1656409082252477,30
30,fixed,95,30,1,0.9271667975712841,0.12195758976749616,30
30,fixed,96,30,1,0.9464789227900673,0.11552400210348815,30
30,fixed,97,30,1,0.940772105282759,0.11204227539166084,30
30,fixed,98,30,1,0.932612952895494,0.14655486548194824,30
30,fixed,99,30,1,0.9359735632956279,0.13756056684409418,30
30,dynamic,0,30,0.44205836935353093,0.09919544880065452,0.7261556551556304,30
30,dynamic,1,30,0.4673168783461726,0.17843463068530196,0.5944420476770009,30
30,dynamic,2,30,0.4673168783461726,0.22270691057952724,0.47608329876168165,30
30,dynamic,3,30,0.4673168783461726,0.2643243669424654,0.37037533336749695,30
30,dynamic,4,30,0.4673168783461726,0.31273674621569136,0.33467747133322034,30
30,dynamic,5,30,0.5367615318721477,0.34569144006200136,0.3428239487453626,30
30,dynamic,6,30,0.5367615318721477,0.37566912067233876,0.30878309915078206,30
30,dynamic,7,30,0.5367615318721477,0.41830895581309574,0.32950782622238306,30
30,dynamic,8,30,0.5820694133276204,0.46485345104029246,0.32625193999436575,30
30,dynamic,9,30,0.656969389872156,0.4838556925348311,0.34966941763260273,30
30,dynamic,10,30,0.6742546067277707,0.5200141461873646,0.3278482645605334,30
30,dynamic,11,30,0.8135615822553782,0.5464577128006572,0.3254138530041753,30
30,dynamic,12,30,0.9317952066613682,0.5898166996773749,0.33010717772294623,30
30,dynamic,13,30,0.9317952066613682,0.642621531036808,0.3355286556116793,30
30,dynamic,14,30,0.9317952066613682,0.6992401019137533,0.258163263698393,30
30,dynamic,15,30,0.9678023596655967,0.7627197882791418,0.2416644264124469,30
30,dynamic,16,30,1,0.8005124157179344,0.23918644237083247,30
30,dynamic,17,30,1,0.8808447649545129,0.16071348119512724,30
30,dynamic,18,30,1,0.8722712519435059,0.17454617572084943,30
30,dynamic,19,30,1,0.8829321796278792,0.1948543068717557,30
30,dynamic,20,45,1,0.886763944365326,0.17014244695588293,45
30,dynamic,21,45,1,0.9078954561994838,0.13851468771282632,45
30,dynamic,22,45,1,0.9000633605075978,0.17805706460829535,45
30,dynamic,23,45,1,0.9068719515369379,0.1552494438010454,45
30,dynamic,24,45,1,0.9244637724795404,0.139851948428086,45
30,dynamic,25,45,1,0.9100555428254273,0.14639042712559736,45
30,dynamic,26,45,1,0.9037666480107709,0.1552949018445017,45
30,dynamic,27,45,1,0.9218691466070016,0.13606409948277998,45
30,dynamic,28,45,1,0.9156602030905916,0.1555813422166866,45
30,dynamic,29,45,1,0.9004665550537329,0.16359924816916474,45
30,dynamic,30,45,1,0.9314041178362605,0.12401993895568039,45
30,dynamic,31,45,1,0.9488443145962603,0.11323480248698424,45
30,dynamic,32,45,1,0.9228123723393359,0.1406241294437942,45
30,dynamic,33,45,1,0.917409446824696,0.15689816958737612,45
30,dynamic,34,45,1,0.9113771595110853,0.1746283101518932,45
30,dynamic,35,45,1,0.9262760735301367,0.1450247683569787,45
30,dynamic,36,45,1,0.9276822767936717,0.13597034269963099,45
30,dynamic,37,45,1,0.9158160452338755,0.15166076185098903,45
30,dynamic,38,45,1,0.9223578729923272,0.1529457858255201,45
30,dynamic,39,45,1,0.9156094648654426,0.14783567740918377,45
30,dynamic,40,45,1,0.9038208571616617,0.16703531746049305,45
30,dynamic,41,45,1,0.8952162353097916,0.18603735341539424,45
30,dynamic,42,45,1,0.8914633058371636,0.1829196194925001,45
30,dynamic,43,45,1,0.8979936093371705,0.17844350755962024,45
30,dynamic,44,45,1,0.9093869517815495,0.16732712386045095,45
30,dynamic,45,45,1,0.9188707076156309,0.1505644338919595,45
30,dynamic,46,45,1,0.9223912492230882,0.1617052352588252,45
30,dynamic,47,45,1,0.9245843738577283,0.1449117610749883,45
30,dynamic,48,45,1,0.904217924169102,0.16319996221727906,45
30,dynamic,49,45,1,0.9150072795533526,0.1607109222415011,45
30,dynamic,50,45,1,0.9012386944363632,0.17456836388195573,45
30,dynamic,51,45,1,0.9117904747501548,0.17770229773001103,45
30,dynamic,52,45,1,0.8939269426519448,0.19721379712482012,45
30,dynamic,53,45,1,0.9165000963645537,0.16443331853653603,45
30,dynamic,54,45,1,0.909075889756292,0.16145206148516617,45
30,dynamic,55,45,1,0.9077901715266244,0.15380272429045863,45
30,dynamic,56,45,1,0.895442558978378,0.1773660959684464,45
30,dynamic,57,45,1,0.9210885252120217,0.15974569788029203,45
